#Num,B1044.101,B1044.101.2,B1044.101.2b,B1044.101b,B1049.012,B2022.201_ud,B2022.201_ud.2,C1011.001a,C1011.001a.2,C2011.001a,C2011.001a.2,C3011.001a,C3011.001a.2,C3032.003a,D1014.011,D1014.011_ridr,D2021.023a,D2021.023b,D2022.013a,D2022.013b,D2022.023a,D2022.023b,D2031.023a,D2031.023b,D3031.013f,D3031.023i,D3041.001c,D3041.011c,D3041.032c,D3041.041b,D3052.013i,D4011.023a,D4011.023ab,D4011.053a,D4011.053ab,D5012.023b
10,0.0,0.0,0.0,0.0,648006.3475860802,0.0,0.0,181390.78887730496,162808.38649143334,0.0,0.0,50830.91115607442,46376.09878109505,0.0,0.0,236326.98339463072,113.07272778923543,30.93719571918504,3565.8035656044594,0.0,0.0,117.45151550677753,0.0,0.0,0.0,0.0,3365.045760543856,0.0,16394.537709664175,1347.3694060225512,0.0,1567.0154424539817,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,421553.1919364858,27115.785664593463,0.0,150124.18207459385,98775.24936915653,2545.2867456848708,0.0,44238.2496327791,44060.76492899367,0.0,56707.157846216985,0.0,0.0,0.0,8372.363116425344,1170.0263795214487,0.0,46.47585215472133,0.0,0.0,0.0,0.0,0.0,0.0,9580.233144577975,1992.9067065334125,0.0,808.6058870093883,4017.9619605640523,0.0,4008.262720928027,0.0
12,0.0,0.0,0.0,0.0,646582.4459490525,0.0,23497.910284299345,128749.7834323799,134081.48967308347,0.0,0.0,39714.13535169466,50482.688859349706,0.0,0.0,100344.87947936894,0.0,0.0,6190.4189075939485,0.0,0.0,48.827020541341334,0.0,1153.7979174365216,0.0,0.0,6255.984274837394,2974.353969406292,20346.76087885698,5438.587007693781,0.0,2025.5252945894626,0.0,1046.342116230353,0.0,0.0
13,0.0,0.0,0.0,0.0,337530.87713218096,63913.79224367827,0.0,126103.46746813532,101917.75379265861,7618.387980637253,0.0,46605.168828831,41406.50172160794,0.0,43071.092517951874,0.0,0.0,0.0,14185.025044584096,0.0,0.0,0.0,0.0,0.0,153819.8517658125,147646.49756227082,0.0,0.0,3276.9250824941105,0.0,137449.33752988503,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,656110.6262753345,0.0,0.0,80436.88216244288,192962.10787495275,0.0,0.0,47514.98535879582,48920.44882749975,0.0,0.0,0.0,0.0,0.0,895.3773836263842,0.0,0.0,0.0,0.0,0.0,136568.2294225594,0.0,0.0,0.0,3412.44566577554,0.0,2285.390208888262,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,511904.3521121387,55209.10224802448,0.0,91683.10686944866,84591.41997536067,0.0,0.0,44085.131890739955,48155.497843627934,0.0,127692.9664723585,0.0,53.089006719253476,0.0,15118.793745536723,553.0779432138518,0.0,88.78556635963307,4423.2022801205585,0.0,0.0,0.0,1595.9601116546385,0.0,23901.231133788508,1427.8155316584443,2868.3078307647725,678.8299286111625,3343.8831905089305,2654.5233471400165,0.0,0.0
16,0.0,0.0,0.0,0.0,261546.06566801088,104240.12842102874,39261.56009718242,134341.69957940612,91786.9734873632,0.0,0.0,50788.757624038524,51374.15774928575,0.0,0.0,114468.36966904181,21.236111161025022,128.9480362179047,14011.925653116152,2113.496941005993,0.0,35.33827647565609,0.0,0.0,0.0,168831.57351699632,7200.413053996048,3810.1311494787897,34853.10641529807,14428.924861135643,0.0,8662.530772838476,0.0,2828.0678660360513,0.0,0.0
17,0.0,0.0,0.0,0.0,527894.9584195471,19551.70896708236,24991.291735810177,124612.02801731354,141447.38134624122,0.0,0.0,48012.9921565167,41363.18653528194,0.0,0.0,0.0,0.0,0.0,9466.11530380128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4628.247427293171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,778686.1473176976,52504.08867251029,19538.727428225528,149685.1989560025,143401.15101209361,0.0,0.0,43104.88686986838,46960.833743931136,0.0,63668.11505292828,0.0,42.87774703679425,92.46356095204932,6612.211372210562,0.0,0.0,67.89968802291979,9698.444114486954,616.4903731899539,0.0,0.0,0.0,0.0,25096.323603659468,2096.3064225751714,0.0,1616.8572960588715,0.0,1862.7731059920777,0.0,0.0
19,0.0,0.0,0.0,0.0,819400.3027880077,0.0,0.0,210849.22920314214,120891.52714124846,0.0,0.0,47037.68056414016,46413.53503508746,7547.774853747059,0.0,0.0,64.83388602436455,85.42916846332113,4531.7077968910135,498.1812923923493,60.78281386093267,30.770146142936493,0.0,489.8341849143816,0.0,0.0,7634.9541093059015,3486.802659593506,13295.107178396875,7490.644025574525,0.0,7277.8362303133035,0.0,3055.1590729164695,0.0,9677.857140468539
