-,repair_cost-,repair_time-parallel,repair_time-sequential
6207,554303.1719522572,193.28903010429377,425.7559935531602
6208,1532420.1736086207,378.3670900895796,1097.572305121785
6209,256768.27098055233,86.31782790311861,217.1409112468996
6210,21600000.0,12500.0,12500.0
6211,2579672.0154864043,690.3590095577579,1870.9197662942495
6212,21600000.0,12500.0,12500.0
6213,1167603.5328490762,404.8130355719939,859.5163625883747
6214,1927217.575426611,524.7899697917632,1350.272472993965
6215,2748126.938007002,796.5677571242795,2029.5351354955224
6216,1182644.8351112339,352.3297311662343,873.5840251126269
6217,21600000.0,12500.0,12500.0
6218,21600000.0,12500.0,12500.0
6219,1502949.2074043066,455.41158442572845,1038.8794852256544
6220,889590.0010016109,274.33498104147515,657.4326186761515
6221,818837.0683771692,226.66098178743334,589.9961145512067
6222,950817.6478364362,266.3166715939357,694.6297349245573
6223,670954.1583216941,221.30741366938236,512.0332771056759
6224,1343513.3158279166,480.47492245918517,967.8524497897324
6225,261845.42920425386,113.87959905130785,227.1086522964221
6226,331926.543994842,103.90569404748156,262.55170680588435
6227,1317671.72693687,446.97176240966144,913.5531803255966
6228,1515665.5733358054,454.2624446576037,1060.4194523702713
6229,2799860.8203134066,795.4500458042879,2069.7972564260085
6230,502304.79929586663,192.89628167443232,407.2142426398402
6231,1702282.7806066172,505.87655363029126,1196.1561311687017
6232,21600000.0,12500.0,12500.0
6233,694721.1387664079,196.164546337494,496.090850252669
6234,3164403.358204842,775.6157502275843,2363.0508685547043
6235,1985326.7526389686,578.4848402432337,1388.0047799181812
6236,1225271.3861148197,352.68447628085255,860.3993102896217
6237,21600000.0,12500.0,12500.0
6238,1100758.3794081735,317.2127915241515,803.4573827602684
6239,1192226.6752702466,336.483854420229,850.4653491645847
6240,1254415.0648013689,347.45955977246945,886.5712106126994
6241,383649.54641486396,134.93667978243366,307.2432155447768
6242,21600000.0,12500.0,12500.0
6243,1916327.342846927,450.41157008399,1346.3623471264211
6244,2943523.962632693,814.3726281602688,2177.6291007333466
6245,647461.1959713518,199.0482908930944,488.6969404687043
6246,654361.8142650119,256.80991262000924,522.4522753349617
6247,1810784.2621844967,482.01067204772886,1301.3882883586743
6248,1128566.1973993385,378.1248647887269,811.7821311207832
6249,21600000.0,12500.0,12500.0
6250,2431889.9562047077,639.5493677782748,1754.5252979094616
6251,261993.93859083665,86.85740762662763,220.85564560668095
6252,21600000.0,12500.0,12500.0
6253,2799687.620206673,735.5119599545133,2049.195974976554
6254,398502.7062112209,154.72236590505372,325.75644554615195
6255,21600000.0,12500.0,12500.0
6256,1249183.5598998473,323.4976622234861,876.3074912199163
6257,21600000.0,12500.0,12500.0
6258,585936.8906246674,177.49491191811745,445.5131494220174
6259,82160.18621451428,29.29861998023999,72.85552389205712
6260,698530.4368734473,266.6959579571264,516.7507381465665
6261,144301.84322368208,48.412530210806736,126.1863408645922
6262,3371057.9656375353,893.6207539405351,2531.040773327921
6263,2850663.7379145925,727.4493028002687,2095.2369082892587
6264,705970.4600586386,275.804971060192,541.3335764074077
6265,21600000.0,12500.0,12500.0
6266,2473347.732446777,592.8056285129088,1772.068922399211
6267,1579639.5208462614,505.7637525700949,1146.6391757051967
6268,548515.993952139,225.60170366576958,422.9654619630885
6269,21600000.0,12500.0,12500.0
6270,2299335.601803349,598.5377565677898,1655.786846016999
6271,1856718.1126742517,565.4155558005394,1316.1152010802011
6272,752089.6309982504,266.7240319207392,552.7227076351661
6273,3127935.760846746,858.5345096984321,2314.9282129876383
6274,685363.3660855201,259.19074667218877,517.4117016381402
6275,1071030.3366639991,317.58420039490557,780.077335385715
6276,2316649.5418491685,694.8766916757074,1660.4907730013451
6277,2092344.0444851606,573.3642644814144,1474.603858803733
6278,469740.32264482736,163.08402523747876,369.7096447896339
6279,21600000.0,12500.0,12500.0
6280,21600000.0,12500.0,12500.0
6281,1287227.574381521,386.3647712977483,934.8788282692843
6282,379708.73072765203,114.6758233366596,282.6160334222879
6283,21600000.0,12500.0,12500.0
6284,341925.8756389042,109.4378382629964,279.5042853643996
6285,21600000.0,12500.0,12500.0
6286,2425765.6459358516,640.1812866522048,1753.7885698231876
6287,1244885.6033910431,386.0555039866477,875.7201539937852
6288,236242.3109861866,84.3334821081257,198.60156089428554
6289,2243880.1806541523,682.1888474066644,1594.1285329230489
6290,986133.7160100318,459.9274351451154,724.8333730077308
6291,401478.15153022663,153.5621677312036,306.2360107434035
6292,546860.2502056635,181.63860283499835,409.6055654370312
6293,1344708.6885654973,361.75574254510593,924.092590914813
6294,701217.4445989369,252.85721672263034,494.27578626703576
6295,586949.4766143834,172.01992474806144,445.2762434071072
6296,1189467.2408230696,353.9038557079064,870.5535646227502
6297,550222.9008556046,219.62006567361217,431.57140693667816
6298,621246.4249947853,261.687631253184,477.80081349446255
6299,2994964.4400965315,829.2419897235457,2209.8332532133963
6300,386551.42825551884,114.11596815632615,303.6651222604191
6301,3222724.9275830765,819.4919772877345,2398.777723879496
6302,21600000.0,12500.0,12500.0
