#,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
108,8652388.687122721,19948.803817747874,19948.803817747874,0.0,1.0
109,8413253.308753766,16073.18683473784,16073.18683473784,0.0,1.0
110,11233089.769618891,20761.494583390166,20761.494583390166,0.0,1.0
111,1959912.6999866278,462.58832850115544,1366.6553953538048,0.0,0.0
112,2304995.222727089,538.7812241700339,1790.2633992238025,0.0,0.0
113,2865850.4691063277,1107.1208756186925,2309.559143110383,0.0,0.0
114,14874835.72506582,8452.888271615588,8452.888271615588,0.0,1.0
115,2749076.2383262734,798.4195735292029,2178.519163600934,0.0,0.0
116,2651506.4887795537,781.3106828005864,2130.4443809489994,0.0,0.0
117,2236497.086421946,802.7061513020536,1804.904042893391,0.0,0.0
118,7593313.09197199,18262.60418907472,18262.60418907472,0.0,1.0
119,6925761.61460548,14773.977598555955,14773.977598555955,0.0,1.0
120,8357788.097519732,26437.97628354041,26437.97628354041,1.0,0.0
121,9603525.881766327,11238.571363491006,11238.571363491006,1.0,0.0
122,1764734.5583297815,592.934244728856,1481.900006996297,0.0,0.0
123,2672947.3745543933,745.7108020562325,1756.5730205326036,0.0,0.0
124,2517056.772816451,687.3039824216113,1636.5882063356585,0.0,0.0
125,12940871.646314468,16955.631501794163,16955.631501794163,0.0,1.0
126,4926044.013464618,20059.12087544,20059.12087544,0.0,1.0
127,16045571.93407948,4536.187243663147,4536.187243663147,0.0,1.0
128,7721553.311368114,13001.005820939152,13001.005820939152,0.0,1.0
129,2607626.4843776943,706.1322530068468,1993.6401555844895,0.0,0.0
130,17827753.091467254,29322.816781361696,29322.816781361696,0.0,1.0
131,10114993.7004328,17569.400299079887,17569.400299079887,1.0,0.0
132,16646833.039508075,21165.52373690141,21165.52373690141,0.0,1.0
133,3529535.349387224,917.4028422712754,2620.044937977783,0.0,0.0
134,20204131.93289072,24414.701289879213,24414.701289879213,0.0,1.0
135,18011678.89349483,18651.38310144802,18651.38310144802,0.0,1.0
136,13411193.167552523,18144.49049020697,18144.49049020697,0.0,1.0
137,15317524.695210665,10184.261900289408,10184.261900289408,1.0,0.0
138,2153937.9164666855,633.4138386778292,1718.766263626733,0.0,0.0
139,9453778.032000817,18442.468326618462,18442.468326618462,0.0,1.0
140,11657397.310979608,12848.614161824516,12848.614161824516,0.0,1.0
141,16908583.305655446,24631.045183529222,24631.045183529222,1.0,0.0
142,6267163.358503662,19084.73090144406,19084.73090144406,1.0,0.0
143,6296292.178669812,17572.653184082905,17572.653184082905,0.0,1.0
144,1987007.5406925513,673.6771219410144,1551.2567415193485,0.0,0.0
145,18426599.418597,18903.241767302265,18903.241767302265,0.0,1.0
146,3526720.154998093,1021.5173342966048,2638.001384832694,0.0,0.0
147,12162496.409362268,26000.802907439374,26000.802907439374,0.0,1.0
148,16676276.81266198,19013.642331220195,19013.642331220195,0.0,1.0
149,8548895.915449863,8614.291334571342,8614.291334571342,0.0,1.0
150,2200399.734516531,980.5929453452904,1928.5768422999668,0.0,0.0
151,10568035.087295666,25251.868973317538,25251.868973317538,0.0,1.0
152,3264226.010462302,966.371598923946,2337.4470937808715,0.0,0.0
153,3203993.2854429097,1318.7641827313073,3023.4867478105193,0.0,0.0
154,4425024.499141255,12876.723846481798,12876.723846481798,1.0,0.0
155,12779111.600752696,17324.725872309034,17324.725872309034,0.0,1.0
156,13985301.258570239,14808.090487523967,14808.090487523967,0.0,1.0
157,12115748.134960257,13799.187140612677,13799.187140612677,1.0,0.0
158,11396083.792921405,14420.793753853563,14420.793753853563,0.0,1.0
159,15399595.710219072,10734.902942830551,10734.902942830551,0.0,1.0
160,2851209.181359673,12057.852051522188,12057.852051522188,0.0,1.0
161,19884185.353236206,13355.437894335952,13355.437894335952,0.0,1.0
162,10252672.452472331,21776.49261963945,21776.49261963945,0.0,1.0
163,14858690.271352924,19255.282468380472,19255.282468380472,0.0,1.0
164,3058905.2226282083,1045.5917083434038,2253.069807426529,0.0,0.0
165,10487537.696647873,19603.48349934897,19603.48349934897,1.0,0.0
166,11220871.402520029,15899.755665952182,15899.755665952182,1.0,0.0
167,2576888.142824587,774.94170393794,1964.771858459483,0.0,0.0
168,2215465.223007983,684.5543788609334,1463.8388389488218,0.0,0.0
169,10559290.807841783,8170.065663363,8170.065663363,1.0,0.0
170,12317214.35081664,8803.537840737068,8803.537840737068,0.0,1.0
171,10503507.862284457,10835.609176360778,10835.609176360778,0.0,1.0
172,19473053.26442741,8398.439958461939,8398.439958461939,0.0,1.0
173,10962283.636775909,10362.702594437673,10362.702594437673,0.0,1.0
174,14779751.442143118,18958.75677550603,18958.75677550603,0.0,1.0
175,17042448.199764524,21292.4120272929,21292.4120272929,0.0,1.0
176,16204166.070892956,12760.80902966654,12760.80902966654,0.0,1.0
177,14291760.961229147,14499.72024890397,14499.72024890397,1.0,0.0
178,2881678.263938966,1023.2173501961493,2446.7548602173497,0.0,0.0
179,16145609.2340958,12382.911099979116,12382.911099979116,0.0,1.0
180,16433746.791774303,15151.322635556333,15151.322635556333,0.0,1.0
181,8078671.437572393,18349.42689960043,18349.42689960043,0.0,1.0
182,2205853.403467338,520.3553108413637,1430.1931846810103,0.0,0.0
183,14675698.765003512,11681.468389662043,11681.468389662043,0.0,1.0
184,13442805.170584045,20702.473524072633,20702.473524072633,1.0,0.0
185,18837094.093977816,15689.57373525791,15689.57373525791,1.0,0.0
186,9051935.618367074,12597.231520219288,12597.231520219288,1.0,0.0
187,3403987.542662464,848.8181493867332,2492.678073635446,0.0,0.0
188,18554807.311672546,12968.525691499846,12968.525691499846,1.0,0.0
189,10775091.955564197,21511.01632645744,21511.01632645744,1.0,0.0
190,10401108.714562595,9040.754546409677,9040.754546409677,0.0,1.0
191,14332079.996550908,6447.91447382656,6447.91447382656,0.0,1.0
192,9324324.704488965,20270.013490256668,20270.013490256668,0.0,1.0
193,1999772.2951176832,487.9655303788786,1680.4896744784407,0.0,0.0
194,13932529.705283146,12455.533718347846,12455.533718347846,1.0,0.0
195,3106900.5074991244,789.4690941725968,2285.8723389455818,0.0,0.0
196,11423967.240210406,12817.347093929322,12817.347093929322,1.0,0.0
197,3302923.298221524,969.8370391686819,2743.1984152706814,0.0,0.0
198,17146580.74849847,29784.4028833952,29784.4028833952,1.0,0.0
199,10478728.843182215,17014.291044298072,17014.291044298072,0.0,1.0
200,19049716.81161154,13266.238577048736,13266.238577048736,0.0,1.0
201,12515438.776837893,33137.14098887478,33137.14098887478,0.0,1.0
202,3022071.2678326434,672.6771097142322,2086.409836057482,0.0,0.0
203,5712307.773680915,13699.510581594497,13699.510581594497,0.0,1.0
204,10524218.476437131,15948.995516403522,15948.995516403522,0.0,1.0
205,3062545.788927972,780.1919815136669,2038.0577931438202,0.0,0.0
206,10668865.178453017,11837.024753294278,11837.024753294278,0.0,1.0
207,13568332.333478857,7378.801688426822,7378.801688426822,0.0,1.0
208,3112140.0554107437,749.0015693273585,2323.1752389456447,0.0,0.0
209,15526064.320627404,16791.610759089916,16791.610759089916,0.0,1.0
210,2921168.332252023,581.558358453327,1861.389216983742,0.0,0.0
211,12483032.573595297,9663.898373945438,9663.898373945438,1.0,0.0
212,11447338.552947152,24329.718782125587,24329.718782125587,0.0,1.0
213,2532237.910115687,888.8385071286913,2004.7681844715325,0.0,0.0
214,14145639.26063075,10807.061104329025,10807.061104329025,1.0,0.0
215,9289029.221764963,12522.940214626435,12522.940214626435,0.0,1.0
216,12381411.565105777,11017.142698290747,11017.142698290747,0.0,1.0
217,13076376.562531708,19552.42062276036,19552.42062276036,1.0,0.0
218,12190794.364418348,12475.51021470298,12475.51021470298,0.0,1.0
219,16093306.689910851,11067.534087271382,11067.534087271382,0.0,1.0
220,2736739.06589092,747.7244905243244,1896.7648903814425,0.0,0.0
221,14365206.60069001,13684.005908354964,13684.005908354964,0.0,1.0
222,3640202.0255214614,1084.8083590445383,2682.391155921821,0.0,0.0
223,3427637.5170197417,846.0620823003351,2841.2235362067013,0.0,0.0
224,3539920.7573686372,1086.8715296820653,2644.185746301591,0.0,0.0
225,4425903.1882119775,19516.882621656223,19516.882621656223,0.0,1.0
226,7844687.179922434,11116.715335510955,11116.715335510955,0.0,1.0
227,5703172.350225903,21494.206082849472,21494.206082849472,1.0,0.0
228,5524552.900481244,27512.007922236786,27512.007922236786,0.0,1.0
229,8945685.562095335,20554.14290941965,20554.14290941965,0.0,1.0
230,16698016.339916604,30749.022914957834,30749.022914957834,0.0,1.0
231,3303744.8140499527,662.6289111331035,2389.172171830688,0.0,0.0
232,2460766.376782182,800.0222095758783,1838.7793553473969,0.0,0.0
233,3079237.9123938372,853.9397670590052,2387.380617611136,0.0,0.0
234,14833928.577371612,11079.650147423175,11079.650147423175,0.0,1.0
235,19424813.703006383,29691.62108043492,29691.62108043492,0.0,1.0
236,6147207.339683173,13059.641105629289,13059.641105629289,0.0,1.0
237,9243456.956926493,10152.377332528993,10152.377332528993,0.0,1.0
238,14543385.178241106,10573.816309048505,10573.816309048505,1.0,0.0
239,3343325.317587833,937.2222282567222,2278.006971380186,0.0,0.0
240,9050031.334025975,22012.907437368693,22012.907437368693,0.0,1.0
241,15068658.98404914,15710.793760899856,15710.793760899856,0.0,1.0
242,3166562.7716640984,957.9111726447726,2336.393721914114,0.0,0.0
243,1796097.189403187,730.5393527030949,1562.4647189480038,0.0,0.0
244,3385564.34013408,808.1456735912105,2549.304972488509,0.0,0.0
245,2318423.814886208,848.0152267450333,1803.5800407520605,0.0,0.0
246,15579574.918124381,14466.092595056354,14466.092595056354,0.0,1.0
247,8442980.293704791,12456.275087512351,12456.275087512351,0.0,1.0
