#Num,IF_inspection,IF_eng,IF_permit,IF_finance,IF_cm_RS1,IF_cm_RS2,IF_cm_RS3,IF_cm_RS4,IF_cm_RS5,IF_cm_RS6,IF_cm_RS7,IF_stab,IF_reconstruct
26,20.424689275726468,37.00722224489232,11.634199896076902,0.0,59.62708351357432,73.06989221534651,44.36727791860772,14.580174091965748,0.0,209.92615390258075,0.0,0.0,0.0
27,7.833989776740517,28.662257666202983,12.386101276085586,0.0,20.434843331371844,55.889840062208776,9.3912111490039,0.0,0.0,199.2246945270211,0.0,22.805133838709768,0.0
28,2.173564549588998,46.121848915522776,13.889437926462668,0.0,37.41459964826011,71.10590661632327,0.0,1.5444841516483283,0.0,0.0,0.0,0.0,0.0
29,1.5765066614592567,25.981474667512416,4.556836143410355,0.0,27.247857373829888,59.60923503879102,17.571667070318778,63.347746269813314,0.0,0.0,0.0,0.0,0.0
30,1.5347742977149093,44.20309151938903,18.536847585171376,0.0,37.43060409580971,103.20844356387032,9.47006190391794,93.32508624994087,0.0,161.87150563546416,0.0,0.0,0.0
31,15.284395721131915,22.339350246858807,12.39828354929831,0.0,19.8755673294758,61.72603441964152,7.411536796674939,30.935045390279445,0.0,139.2568191042659,4.2099016048767055,0.0,0.0
32,2.6593609056014134,36.76938300150622,23.338671959166692,0.0,20.423395331974564,44.61169803092404,6.72832821286393,14.513506137027067,0.0,0.0,5.646466565603316,7.664416033446716,0.0
33,10.00588279440234,27.32678435255362,20.878252823074476,24.074189308974503,32.30594515506537,73.03758155953732,14.658830839709676,11.950505904229658,0.0,477.26550979274185,0.0,1.3010588534853715,0.0
34,6.318498057727643,6.790186567222084,6.114319740196028,0.0,18.177281776463836,66.8293608365994,0.0,2.2621563884344473,0.0,0.0,0.0,0.0,0.0
35,2.287454331067886,23.973433062374493,13.081008134730594,0.0,35.93391507350391,75.01532558886443,18.310121634706988,15.927181786527067,0.0,95.79063729047917,0.0,0.0,0.0
36,7.0108706496749145,21.525870402299443,14.769780837566916,0.0,44.36366065117237,58.285430997931044,0.0,9.80763597816441,0.0,170.26321323674713,0.0,0.0,0.0
37,2.6461975463885805,34.61762950414934,20.142086603557768,0.0,41.675538438300904,77.8447830304921,7.6127328896774715,4.909389432358653,0.0,177.87013473907925,0.0,16.666854088619907,0.0
38,8.833362488057963,14.602707768285876,24.592725552065858,0.0,59.50940122060092,39.26679358600802,21.6814238142114,7.603794435553582,0.0,216.7987764000591,13.79471564098704,9.709178995634066,0.0
39,11.8845230902294,24.046218190865897,27.153186652317622,115.02492401431917,43.26755563612372,100.27381522282897,0.0,12.468207224358146,0.0,123.6838331637535,0.0,0.0,0.0
40,3.4814275901912493,57.51349091387456,26.83368011211219,0.0,41.482109951560886,184.39861029285882,8.013744358236464,2.291779518988155,0.0,180.81565568118768,0.0,0.0,0.0
41,2.3248188824403013,7.649315923703506,17.533944020499295,0.0,46.75158821026535,68.77533122033996,8.550096195246661,29.77811751634621,0.0,0.0,0.0,3.001642799077399,0.0
42,3.002268570331121,14.602570386483709,19.843989283519,0.0,63.65515599484599,40.60374103709275,12.935740163548267,15.148587902363,0.0,400.48101346754794,0.0,1.6127802811104912,0.0
43,17.549121332514463,37.29284236013105,23.38444956356829,142.7700697822652,75.14355639342295,53.55347499042415,6.7548116092067945,2.2926530727022363,0.0,259.63332170728927,0.0,4.234770905835379,0.0
44,7.855105108706501,37.74714101303986,15.680716370068616,0.0,28.551394604264534,81.59383590345855,14.255568972773982,7.854089235801131,0.0,134.18202825395284,0.0,0.0,0.0
45,3.8404417916881064,31.781857396162,20.518859093462577,0.0,43.03561306867746,66.5376353854444,68.21714391746328,0.0,0.0,0.0,0.0,23.851126687366303,0.0
46,3.0650257152364913,12.720613664961075,9.06626471829346,0.0,26.67880439775317,65.12043701966626,42.27207843941732,2.397184892821317,0.0,109.11485781778106,4.202278740086085,0.0,0.0
47,4.433465732179631,19.806819698805157,31.52024214232621,0.0,105.64810084633454,75.75094669562199,0.0,2.461058833138702,4.611357141105109,0.0,0.0,0.0,0.0
48,5.04240009816726,15.575362258343654,5.2361260145561355,0.0,25.87223567280244,124.6995424363343,20.27839697927446,0.0,0.0,401.4831701760023,0.0,0.0,0.0
49,10.090134833750845,30.40163083787236,26.72499215075583,0.0,30.680488054356214,66.47841672660101,16.744281780081316,27.36659886358493,0.0,0.0,0.0,17.145840354007344,0.0
50,5.846918874539139,31.681847767141527,20.314136501586905,0.0,48.57877199983552,49.00656087406045,39.433660535634615,35.8635127461076,5.745082485542667,157.8881236797285,0.0,0.0,0.0
51,2.6690354267374907,35.162700595550426,17.684236493557545,327.01607769875346,72.41836288347905,63.6567345552733,0.0,12.903588756538813,6.647804753672169,233.4482770037737,0.0,29.19769952350896,0.0
52,16.19102014022752,21.41916889512843,16.61474758413998,0.0,67.53562165502356,80.89036808657822,16.554467762487107,7.59804590774134,0.0,394.8926898888869,2.9878960255875335,1.7108499802616428,0.0
53,4.8169027284320025,17.543772005402815,19.93148508506008,0.0,39.79559125149539,101.78451177652163,21.66110573164293,0.0,0.0,239.47941737345874,0.0,0.0,0.0
54,6.39383896135908,30.02145676044791,19.188416467633832,0.0,49.09225384440762,57.71579552677953,0.0,10.78612154799164,0.0,119.98984388429922,0.0,0.0,0.0
55,3.2863281366164236,35.57329927854921,14.017074707929885,0.0,49.87035973725829,48.16144311453036,67.19866137696643,0.0,0.0,294.20318699567565,5.280689494462405,0.0,0.0
56,4.44354024094191,21.162142221940933,23.109036085327357,0.0,52.56067985869261,56.293570968825136,0.0,6.160724099711297,0.0,0.0,0.0,16.442699037286648,0.0
57,10.278370208475085,15.070545095752985,16.851471114823894,0.0,44.747328770357825,73.22625729322017,33.26048488436554,89.7184827594012,2.760423262639764,0.0,0.0,5.555156442283264,0.0
58,7.32300884911172,8.891886237911741,7.7644670189811995,0.0,35.35620523865168,127.33486984268225,75.34250357039349,10.454316410755569,0.0,107.42758569462009,0.0,10.518402450027327,0.0
59,8.251347988369583,33.59804325390804,30.704980450423715,0.0,66.2649253230001,105.81466754978084,3.0899016561444124,35.21789028615527,0.0,0.0,0.0,11.33920700115822,0.0
60,6.626870867923938,36.691650728840465,12.952184688716091,652.451763988223,62.31924362329363,69.12514693797786,11.598155724462998,2.184086754038183,0.0,0.0,0.0,0.0,0.0
61,2.085235932136369,30.5348329907578,16.560217985383307,0.0,58.96614337892654,79.57412519729205,14.241905955617527,18.323002219701312,0.0,164.73198538332736,0.0,19.464229746039045,0.0
62,9.816592371259771,30.97330962515899,21.54541963771069,237.5798468662242,51.51655762881407,55.368880459835026,16.046563021967252,25.951333905181688,0.0,361.7947299441983,0.0,0.0,0.0
63,2.3478346513994315,10.312097636122779,25.82201485138412,0.0,38.34703200016483,62.06111568088678,0.0,17.259532480216546,0.0,255.2555465776667,0.0,0.0,0.0
